taxon_id,nombre_cientifico,nombre_comun,iconic_taxon_name,ruta
13702,Motacilla grandis,Japanese Wagtail,Aves,https://static.inaturalist.org/photos/337608889/square.jpg
320070,Pterostoma palpina,Pale Prominent,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/12586649/square.jpg
1038656,Hydnoporia olivacea,brown-toothed crust fungus,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/177713999/square.jpg
160348,Ceratocephala testiculata,Curveseed Butterwort,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/6691638/square.jpg
1280949,Echinoderma asperum,Freckled Dapperling,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/253686/square.JPG
33119,Basiliscus plumifrons,Green Basilisk,Reptilia,https://static.inaturalist.org/photos/30135274/square.jpg
47014,Scalopus aquaticus,Eastern Mole,Mammalia,https://inaturalist-open-data.s3.amazonaws.com/photos/12428916/square.jpg
46272,Glaucomys volans,Southern Flying Squirrel,Mammalia,https://inaturalist-open-data.s3.amazonaws.com/photos/11269593/square.jpeg
1568926,Senega nana,candyroot,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/119531544/square.jpg
179171,Ganoderma australe,southern bracket,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/284451894/square.jpg
154364,Udaspes folus,Grass Demon,Insecta,https://static.inaturalist.org/photos/96662081/square.jpg
121534,Oreta rosea,Rose Hooktip,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/351146450/square.jpeg
567330,Ocypode ceratophthalmus,Horned Ghost Crab,Animalia,https://inaturalist-open-data.s3.amazonaws.com/photos/56244272/square.jpeg
76124,Carex utriculata,Northwest Territory sedge,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/967436/square.jpg
224854,Melipotis cellaris,Cellar Graphic,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/112827834/square.jpeg
154798,Bromelia pinguin,piñuela,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/64669430/square.jpg
589916,Metalasia densa,Fynbos Blombush,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/15134235/square.jpg
